ds,yhat,yhat_lower,yhat_upper
2023-01-30,207.34219409724534,194.84757615807547,219.61586089531116
2023-01-31,209.7775320452748,198.04416552883956,222.31807681141706
2023-02-01,208.56252547302012,197.04271118851113,221.45287645691926
2023-02-02,210.2586146916685,197.64766984653284,222.64807187433533
2023-02-03,211.70458457872337,199.15089116163674,224.32039635912747
2023-02-04,211.92229284121805,199.93102997443674,224.23907597681307
2023-02-05,212.02084384949168,200.3055358395902,224.73754406926184
2023-02-06,210.67492165427768,197.95326711561265,222.49949203432251
2023-02-07,213.02819038605188,200.73070280664575,224.95580390730012
2023-02-08,211.71208249056664,199.38373036588231,224.0769976170051
2023-02-09,213.29121037346178,202.17600718025085,227.12208956694946
2023-02-10,214.60772883160462,201.34011020914087,226.96771010558075
2023-02-11,214.6869606030307,202.9604025589314,227.13301570256027
2023-02-12,214.64146858130874,202.10821265651552,227.41060578676917
2023-02-13,213.1492911591591,200.01243967034054,225.43813428637958
2023-02-14,215.3572515757501,203.6713898884827,227.5385359881041
2023-02-15,213.8996641483292,201.3184900226315,226.62185209959503
2023-02-16,215.34367507422283,202.3766282994114,228.32388865742826
2023-02-17,216.53356692598786,203.6968475750858,229.34205921948066
2023-02-18,216.49634050516264,204.08025972820252,228.03970658583327
2023-02-19,216.34575849200831,204.32275763423914,228.00314244995312
2023-02-20,214.76056778792588,202.79669320328577,227.3602192656863
2023-02-21,216.88781139257304,204.88187869806902,228.76821850007238
2023-02-22,215.36155220970895,203.53417894536645,227.77075145730262
2023-02-23,216.74824554837357,204.35139723290183,229.20237910249548
2023-02-24,217.8910881249522,204.92097364047927,229.65035603248933
2023-02-25,217.815655561767,205.5991040328977,230.1492842455108
2023-02-26,217.63401084589697,206.3944102685275,230.455667289397
2023-02-27,216.0229984740834,203.4281888642962,228.9115542869959
2023-02-28,218.12763269466473,206.22189616729122,230.66950482184058
2023-03-01,216.57989984154955,204.32102751715323,229.55627655391515
2023-03-02,217.94420901440748,205.3512668670359,230.0839946707318
2023-03-03,219.0618164900941,207.16220025095134,231.09676094467918
2023-03-04,218.95653355989188,207.81558958552543,232.0782328727655
2023-03-05,218.73889815297218,207.00669281537375,230.61160035510866
2023-03-06,217.08452308288747,203.68962270197184,229.92395373974026
2023-03-07,219.13752783639006,206.41740192757248,232.35831163666413
2023-03-08,217.52937262732212,205.5501958944803,230.04306801199027
2023-03-09,218.82432816810302,206.5767836624004,230.91510228296713
2023-03-10,219.86390610057595,207.0201338793176,233.03044572850516
2023-03-11,219.67255974715133,207.8317048649984,232.1221659453815
2023-03-12,219.36183590884502,207.6010863407002,232.4437923886106
2023-03-13,217.60869129578768,205.0896543650365,228.81486651281588
2023-03-14,219.55888161449732,207.01529832253902,232.39907056723968
2023-03-15,217.8457434580938,206.27115898003674,230.0176858786135
2023-03-16,219.0356041470944,206.67998638319295,231.0618467489913
2023-03-17,219.97214637574774,208.15030447977796,232.35603324603454
2023-03-18,219.68203939632767,207.15162807721296,232.28004129155983
2023-03-19,219.27901963344598,207.08310969813093,231.04126089609952
2023-03-20,217.44213650835695,205.0870673923878,229.44972124932744
2023-03-21,219.3190736542942,207.29211537127324,232.52455922408467
2023-03-22,217.5448677243441,205.4937914122311,230.40995540130348
2023-03-23,218.6872618332521,206.09155875103713,231.670292277919
2023-03-24,219.59102216515817,207.67769996743635,232.01806074977733
2023-03-25,219.28353089264652,207.0599259427635,231.44673340410395
2023-03-26,218.87883940826947,206.1089674109279,230.9578025243048
2023-03-27,217.05589842454918,204.86543940701938,228.8733406835184
2023-03-28,218.96187554597216,206.3184240502132,231.97660918099672
2023-03-29,217.23088257534147,204.1728292753728,229.72990147328005
2023-03-30,218.42934929642053,205.73261184801513,230.28035030286205
2023-03-31,219.40037161816988,208.29271231181906,231.35578828333342
2023-04-01,219.16934625441496,206.47297250918055,232.53257912384555
2023-04-02,218.84807468571614,207.19951558319292,231.4225327744898
2023-04-03,217.11305139853653,204.71458200961828,229.31209751215582
2023-04-04,219.10884537532482,207.66073701981392,231.99938641462967
2023-04-05,217.46689513697805,204.12415332819342,229.67820591398342
2023-04-06,218.75095215928266,205.81277338713844,230.27117815290276
2023-04-07,219.8014985390971,207.40453264959652,232.4542858315549
2023-04-08,219.6414491082301,206.72369286416898,232.45976678090602
2023-04-09,219.38031883879967,208.11614149605313,232.1920611122612
2023-04-10,217.69256882376084,205.80346702649967,230.1763422863711
2023-04-11,219.72103814739313,207.31046241927234,231.32858617845645
2023-04-12,218.0957806988739,205.5216863721063,229.9669531531897
2023-04-13,219.3795406356162,207.57945770473958,232.18477778609204
2023-04-14,220.41219160686737,207.10270618061824,232.72035094870836
2023-04-15,220.2164494755623,207.28145560469528,232.6651688742341
2023-04-16,219.90203924656788,207.8116546812435,231.9289892768371
2023-04-17,218.1440296720936,205.80588269946847,230.4941566695852
2023-04-18,220.08624334936755,207.04680680441106,231.5908379142546
2023-04-19,218.36006215744573,205.51569481915865,229.80632638054345
2023-04-20,219.52986279885377,207.07653175832058,232.1346445904135
2023-04-21,220.4374088454427,208.4964519433979,232.69312304668904
2023-04-22,220.10751050318865,208.37444168307147,232.21832035581406
2023-04-23,219.6521344212183,206.97768971597452,231.77377733003559
2023-04-24,217.74867872326712,205.94912806576573,230.02439765792613
2023-04-25,219.54332282160476,206.71020903709586,230.68857468112128
2023-04-26,217.66977358914937,206.41837164272314,231.1010646569592
2023-04-27,218.69464431775697,205.8473657697259,230.02003450672188
2023-04-28,219.46179440775649,206.9928534495383,232.2339762673524
2023-04-29,218.99794238860733,206.97843583253749,230.86938230986394
2023-04-30,218.41673578137744,206.2858064662346,230.4641647153206
2023-05-01,216.39699393500715,204.85610762929792,229.61194168746928
2023-05-02,218.08603409303822,206.02319957782456,230.69851593274257
2023-05-03,216.1184026910334,204.32379639168005,228.54075316222827
2023-05-04,217.061248456131,205.23823543620594,229.69713233596931
2023-05-05,217.75866511834062,205.1887490856921,229.96281845899105
2023-05-06,217.23731592823492,205.17707013948788,229.52526806242264
2023-05-07,216.61059293146624,204.38352026923837,229.28881702657566
2023-05-08,214.55667577110165,201.70596520616786,227.56991237446525
2023-05-09,216.22210015677086,203.66236289096705,228.38970818635224
2023-05-10,214.24045581311492,201.9466435240528,227.02866029706496
2023-05-11,215.17779961415275,202.54227719544267,227.02994505432076
2023-05-12,215.87704020624685,204.08698227147167,227.97452181890125
2023-05-13,215.3636048822955,202.6972396784113,227.15265504875114
2023-05-14,214.7495701551769,201.65235590950726,226.47768392115742
2023-05-15,212.71196994455389,201.07072816194764,225.71123351391515
2023-05-16,214.39618933630967,202.46207327208265,226.37803089476978
2023-05-17,212.43476361297022,199.9322316027882,224.62576764752328
2023-05-18,213.39281689563234,201.4348892690705,224.69545514513902
2023-05-19,214.11246611836393,201.04290408501407,226.59546451506546
2023-05-20,213.61850064915262,201.0393407125735,225.3786754002877
2023-05-21,213.0225187973214,200.21040969341865,225.70763278586904
2023-05-22,211.00123515705366,198.74397185372612,222.84374704214363
2023-05-23,212.69986702038514,200.37127380146833,225.0760968363575
2023-05-24,210.75092005856484,198.1571542628089,222.12415246675127
2023-05-25,211.71960831863623,199.16692855026287,225.752115048028
2023-05-26,212.4482351419946,199.80672647931237,224.37214380445923
2023-05-27,211.9618463517661,199.703514887612,224.78138355233907
2023-05-28,211.3723380911787,198.47629037248956,224.01658364842186
2023-05-29,209.35673447403468,197.6813836683263,221.19068888797335
2023-05-30,211.0605445185319,199.14819918990113,222.97358600441078
2023-05-31,209.11651978400536,196.87250928517108,220.86705852483317
2023-06-01,210.0900489186745,197.64451959355105,222.50192534218988
2023-06-02,210.82351678608723,198.1073422289398,223.28241524496747
2023-06-03,210.34194044080155,198.27131292996995,222.5216521212441
2023-06-04,209.75706508950154,198.56040430056584,222.14321949060852
2023-06-05,207.74563575645792,195.32541250363334,220.07397070539665
2023-06-06,209.45275446593723,196.65980860420638,221.52164730818527
2023-06-07,207.51064447342472,195.71980175381708,220.2697191239155
2023-06-08,208.48405763165837,196.0563279150794,221.52240143745138
2023-06-09,209.21465220570656,196.3504445945704,221.02049151353054
2023-06-10,208.72665283307842,196.06869119672285,221.72954951642473
2023-06-11,208.1336917756684,196.4040725397328,220.01773821653154
2023-06-12,206.10896228809656,193.37136339477212,218.16658225723134
2023-06-13,207.7967606905367,195.62823049348353,220.38652097528797
2023-06-14,205.82856958720225,193.69098682386823,217.84163621816506
2023-06-15,206.76850097168787,193.9129212939936,219.26033028439582
2023-06-16,207.45770843413328,195.03733712666454,219.88075194022423
2023-06-17,206.9200788711213,193.68302262073408,219.2241812744645
2023-06-18,206.2663848222775,194.04486040459616,218.62304726484624
2023-06-19,204.17261106506876,192.29409858224565,217.1152297907521
2023-06-20,205.78336318814766,194.14878152872694,218.4788911525692
2023-06-21,203.73067764975042,191.2934713041131,216.59209163315626
2023-06-22,204.57946751850224,191.4361171105749,216.25625611464477
2023-06-23,205.17192952516,192.50502338118494,218.12652383029382
2023-06-24,204.53322269914486,192.57560259902718,217.6969194301561
2023-06-25,203.7755998423112,191.97006111363706,216.01693292695876
2023-06-26,201.57670585577984,189.93235334009796,213.40882035582507
2023-06-27,203.08295127253132,189.9616668517072,215.11140807233264
2023-06-28,200.92828136664795,188.91191916279118,213.29719011450388
2023-06-29,201.67957610951214,188.70432472548728,213.05750880415488
2023-06-30,202.18100785244067,190.71889574425154,215.45533960899016
2023-07-01,201.45966840219324,188.80782936258535,213.59097762099236
2023-07-02,200.62964823459447,187.41399086023577,213.32616388444592
2023-07-03,198.37028340955345,186.4400685983018,210.80317884779382
2023-07-04,199.8294800957499,187.83138354908718,211.7287730969092
